,expId,Compound,Catalog.No.,Rack.Number,M.w.,CAS.Number,Form,Targets..as.supplied.,Target.class..11Mar15.,Molecule.Type,Target.Species,Target.Type,Information,Smiles,Max.Solubility.in.DMSO,URL,Pathway,Plate,Position
11,3,Y-27632 2HCl,S1049,L1700-01,320.26,129830-38-2,dihydrochloric,Autophagy;ROCK,ROCK1,Synthetic small molecule,Mammalian,Kinase,Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM; exhibits >200-fold selectivity over other kinases; including PKC; cAMP-dependent protein kinase; MLCK and PAK.,[C@@H]1(CC[C@@H](CC1)[C@@H](C)N)C(=O)NC2(C=CN=CC=2).Cl.Cl,199,http://www.selleckchem.com/products/Y-27632.html,Cell Cycle,1,a11
12,3,Adapalene,S1276,L1700-03,412.52,106685-40-9,free base,Others,Other,Synthetic small molecule,Mammalian,Other,Adapalene is a third-generation topical retinoid primarily used in the treatment of acne.,C1(=C(C=CC(=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)OC)C45CC6CC(C4)CC(C5)C6,19,http://www.selleckchem.com/products/Adapalene.html,Others,1,a12
13,3,Masitinib (AB1010),S1064,L1700-01,498.64,790299-79-5,free base,PDGFR;c-Kit,KIT;LYN;PDGFR,Synthetic small molecule,Mammalian,Kinase,Masitinib is a novel inhibitor for Kit and PDGFRA/Beta with IC50 of 200 nM and 540 nM/800 nM; weak inhibition to ABL and c-Fms. Phase 2/3.,C1(=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CC=CN=C5)C,200,http://www.selleckchem.com/products/Masitinib-(AB1010).html,Protein Tyrosine Kinase,1,a13
14,3,Budesonide,S1286,L1700-03,430.53,51333-22-3,free base,Others,Glucocorticoid Receptor,Synthetic small molecule,Mammalian,Receptor,Budesonide is a glucocorticoid steroid for the treatment of asthma; non-infectious rhinitis.,C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@H]3O)([C@@]5([C@@H](C4)O[C@](O5)(CCC)[H])C(CO)=O)C)[H])[H])[H])C)=O,199,http://www.selleckchem.com/products/Budesonide.html,Others,1,a14
15,3,ZSTK474,S1072,L1700-01,417.41,475110-96-4,free base,PI3K,PI3K,Synthetic small molecule,Mammalian,Kinase,ZSTK474 inhibits class I PI3Kisoforms with IC50 of 37 nM; mostly PI3Kδ. ,N1=C(N=C(N=C1N2CCOCC2)N3C4=C(N=C3C(F)F)C=CC=C4)N5CCOCC5,50,http://www.selleckchem.com/products/ZSTK474.html,PI3K/Akt/mTOR,1,a15
16,3,Floxuridine,S1299,L1700-03,246.19,50-91-9,free base,DNA/RNA Synthesis,Thymidylate synthase ,,Mammalian,Metabolism-related,Floxuridine is a prodrugs of floxuridine and an oncology agent with an GI50 of 5.1 muM for the inhibition of MDCK/PEPT1.,O1[C@@H]([C@H](C[C@H]1N2C=C(C(NC2=O)=O)F)O)CO,199,http://www.selleckchem.com/products/Floxuridine.html,DNA Damage,1,a16
17,3,Belinostat (PXD101),S1085,L1700-01,318.35,414864-00-9,free base,HDAC,HDAC,Synthetic small molecule,Mammalian,Epigenetic modifier,Belinostat (PXD101) is a novel HDAC inhibitor with IC50 of 27 nM; with activity demonstrated in cisplatin-resistant tumors. Phase 1/2.,C1(=CC=CC(=C1)/C=C/C(NO)=O)S(NC2=CC=CC=C2)(=O)=O,201,http://www.selleckchem.com/products/Belinostat.html,Epigenetics,1,a17
18,3,Costunolide,S1319,L1700-03,232.32,553-21-9,free base,Telomerase,Farnsyl transferase;Telomerase,Natural product,Mammalian,Signaling-related,Costunolide; a natural sesquiterpene compound with multiple biological activities; inhibits FPTase with IC50 of 20 muM; also inhibits telomerase with IC50 of 65-90 muM.,C1C/C(=C/[C@@H]2[C@@H](CC/C(=C/1)C)C(C(O2)=O)=C)C,202,http://www.selleckchem.com/products/Costunolide.html,DNA Damage,1,a18
19,3,LAQ824 (Dacinostat),S1095,L1700-01,379.46,404951-53-7,free base,HDAC,HDAC,Synthetic small molecule,Mammalian,Epigenetic modifier,LAQ824 (Dacinostat) is a novel HDAC inhibitor with IC50 of 32 nM and is known to activate the p21 promoter.,C1(=CC=C(C=C1)CN(CCO)CCC2=CNC3=C2C=CC=C3)/C=C/C(NO)=O,200,http://www.selleckchem.com/products/LAQ824(NVP-LAQ824).html,Epigenetics,1,a19
20,3,Flumazenil,S1332,L1700-03,303.29,78755-81-4,free base,GABA Receptor,GABA Receptor,,Mammalian,Receptor,Flumazenil is a benzodiazepine antagonist.,C1=C(C=C2C(=C1)N3C(CN(C2=O)C)=C(N=C3)C(=O)OCC)F,16,http://www.selleckchem.com/products/Flumazenil.html,Neuronal Signaling,1,a20
21,3,GDC-0879,S1104,L1700-01,334.37,905281-76-7,free base,Raf,RAF,Synthetic small molecule,Mammalian,Kinase,GDC-0879 is a novel; potent; and selective B-Raf inhibitor with IC50 of 0.13 nM with activity against c-Raf as well; no inhibition known to other protein kinases.,C(CN1N=C(C(=C1)C2=CC=C3C(=C2)CCC/3=N/O)C4C=CN=CC=4)O,200,http://www.selleckchem.com/products/GDC-0879.html,MAPK,1,a21
22,3,Granisetron HCl,S1345,L1700-03,348.87,107007-99-8,hydrochloride,5-HT Receptor,5-HT Receptor,Synthetic small molecule,Mammalian,Receptor,Granisetron HCl is a serotonin 5-HT3 receptor antagonist,C1(=C2C(=CC=C1)N(N=C2C(=O)NC3CC4CCCC(C3)N4C)C).Cl,10,http://www.selleckchem.com/products/Granisetron-Hydrochloride.html,Neuronal Signaling,1,a22
23,3,4mu8C,S7272,L1700-21,204.18,14003-96-4,free base,Others,IRE1,Synthetic small molecule,Mammalian,Signaling-related,4mu8C is a potent and selective IRE1 RNase inhibitor with IC50 of 76 nM.,C1(=CC=C2C(=C1C=O)OC(C=C2C)=O)O,93,http://www.selleckchem.com/products/4u8c.html,Others,1,a23
24,3,RG2833 (RGFP109),S7292,L1700-21,339.43,1215493-56-3,free base,HDAC,HDAC,Synthetic small molecule,Mammalian,Epigenetic modifier,RG2833 (RGFP109) is a brain-penetrant HDAC inhibitor with IC50 of 60 nM and 50 nM for HDAC1 and HDAC3; respectively.,C1(=CC=C(C=C1)C(=O)NCCCCCC(NC2=CC=CC=C2N)=O)C,200,http://www.selleckchem.com/products/rg2833-rgfp109.html,Epigenetics,1,a24
25,3,SGX-523,S1112,L1700-02,359.41,1022150-57-7,free base,c-Met,MET,Synthetic small molecule,Mammalian,Kinase,SGX-523 is a selective Met inhibitor with IC50 of 4 nM; no activity to BRAFV599E; c-Raf; Abl and p38A. Phase 1.,C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2,10,http://www.selleckchem.com/products/SGX-523.html,Protein Tyrosine Kinase,1,b1
26,3,Losartan Potassium (DuP 753),S1359,L1700-04,462.01,124750-99-8,potassium,RAAS,AT1/2,Synthetic small molecule,Mammalian,Receptor,Losartan is an angiotensin II receptor antagonist; competes with the binding of angiotensin II to AT1 receptors with IC50 of 20 nM.,C1(=CC(=CC=C1C2=C(C=CC=C2)C3NN=NN=3)CN4C(=C(N=C4CCCC)Cl)CO).[K],199,http://www.selleckchem.com/products/losartan-potassium.html,Endocrinology & Hormones,1,b2
27,3,Everolimus (RAD001),S1120,L1700-02,958.22,159351-69-6,free base,mTOR,FKBP12/MTOR,Synthetic small molecule,Mammalian,Signaling-related,Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.,C(O)CO[C@H]1[C@@H](C[C@@H](CC1)C[C@@H]([C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C([C@]4([C@@H](CC[C@H](O4)C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C([C@@H]([C@@H](O)/C(=C/[C@H](C(C2)=O)C)C)OC)=O)C)C)C)OC)C)O)=O)C)OC,31,http://www.selleckchem.com/products/Everolimus(RAD001).html,PI3K/Akt/mTOR,1,b3
28,3,Acitretin,S1368,L1700-04,326.43,55079-83-9,free base,Others,Other,Synthetic small molecule,Mammalian,Other,Acitretin is a second generation retinoid used for psoriasis.,C1=C(C(=C(C(=C1C)/C=C/C(=C/C=C/C(=C/C(O)=O)C)C)C)C)OC,61,http://www.selleckchem.com/products/Acitretin.html,Others,1,b4
29,3,AT9283,S1134,L1700-02,381.43,896466-04-9,free base,JAK;Aurora Kinase;Bcr-Abl,JAK;Aurora Kinase;BCR-ABL,Synthetic small molecule,Mammalian,Kinase,AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B; Abl(T315I). Phase 1/2.,N(C(=O)NC1C(=NNC=1)C2NC3C(N=2)=CC(=CC=3)CN4CCOCC4)C5CC5,199,http://www.selleckchem.com/products/AT9283.html,JAK/STAT,1,b5
30,3,Lopinavir,S1380,L1700-04,628.8,192725-17-0,free base,HIV Protease,HIV Protease,Synthetic small molecule,Virus,Protease,Lopinavir is a potent HIV protease inhibitor with Ki of 1.3 pM.,C1=CC=C(C(=C1C)OCC(N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@@H](N4CCCNC4=O)C(C)C)O)=O)C,200,http://www.selleckchem.com/products/Lopinavir.html,Proteases,1,b6
31,3,Ivacaftor (VX-770),S1144,L1700-02,392.49,873054-44-5,free base,CFTR,CFTR,Synthetic small molecule,Mammalian,Metabolism-related,Ivacaftor (VX-770) is a potentiator of CFTR targeting G551D-CFTR and F508del-CFTR with EC50 of 100 nM and 25 nM; respectively.,C1=C(C(=CC(=C1C(C)(C)C)NC(C2C(C3=C(NC=2)C=CC=C3)=O)=O)O)C(C)(C)C,198,http://www.selleckchem.com/products/VX-770.html,Transmembrane Transporters,1,b7
32,3,Ondansetron HCl,S1390,L1700-04,329.82,99614-01-4,hydrochloride,5-HT Receptor,5-HT Receptor,Synthetic small molecule,Mammalian,Receptor,Ondansetron HCl is a serotonin 5-HT3 receptor antagonist. ,C1(=CC=C2C(=C1)C3=C(N2C)CCC(C3=O)CN4C(=NC=C4)C).Cl,200,http://www.selleckchem.com/products/Ondansetron-hydrochloride.html,Neuronal Signaling,1,b8
33,3,S3I-201,S1155,L1700-02,365.36,501919-59-1,free base,STAT,STAT,Synthetic small molecule,Mammalian,Signaling-related,S3I-201 shows potent inhibition of STAT3 DNA-binding activity with IC50 of 86 muM; and low activity towards STAT1 and STAT5.,C1(=CC=C(C=C1)S(OCC(NC2=CC=C(C(=C2)O)C(O)=O)=O)(=O)=O)C,199,http://www.selleckchem.com/products/S31-201.html,JAK/STAT,1,b9
34,3,Tenofovir Disoproxil Fumarate,S1400,L1700-04,635.51,202138-50-9,fumarate,Reverse Transcriptase,Reverse Transcriptase,Synthetic small molecule,Virus,Reverse Transcriptase,Tenofovir disoproxil fumarate belongs to nucleotide analogue reverse transcriptase inhibitors (nRTIs). ,N1(C=NC2=C(C=1N)N=CN2C[C@H](OCP(OCOC(OC(C)C)=O)(OCOC(=O)OC(C)C)=O)C).C(=C/C(=O)O)/C(=O)O,201,http://www.selleckchem.com/products/Tenofovir-Disoproxil-Fumarate.html,Microbiology,1,b10
35,3,ABT-751 (E7010),S1165,L1700-02,371.41,141430-65-1,free base,Microtubule Associated,Microtubules,Synthetic small molecule,Mammalian,Cytoskeleton,ABT-751 (E7010) binds to the colchicine site on Beta-tubulin and inhibits polymerization of microtubules; not a substrate for the MDR transporter and is active against cell lines resistant to vincristine; doxorubicin; and cisplatin. Phase 1/2.,C1=C(C=CC(=C1)S(=O)(=O)NC2=C(N=CC=C2)NC3=CC=C(C=C3)O)OC,199,http://www.selleckchem.com/products/ABT-751.html,Cytoskeletal Signaling,1,b11
36,3,Clopidogrel,S1415,L1700-04,419.9,120202-66-6,sulfate,P2 Receptor,P2 Receptor,Synthetic small molecule,Mammalian,Receptor,Clopidogrel (Plavix) is an oral; thienopyridine class antiplatelet agent.,C1(=CC=CC(=C1Cl)[C@H](N2CCC3=C(C2)C=CS3)C(=O)OC).OS(O)(=O)=O,200,http://www.selleckchem.com/products/Clopidogrel-bisulfate.html,Neuronal Signaling,1,b12
37,3,WZ4002,S1173,L1700-02,494.18,1213269-23-8,free base,EGFR,ERBB,Synthetic small molecule,Mammalian,Kinase,WZ4002 is a novel; mutant-selective EGFR inhibitor for EGFR(L858R)/(T790M) with IC50 of 2 nM/8 nM; does not inhibit ERBB2 phosphorylation (T798I).,C1(=CC(=C(C=C1)NC2=NC=C(C(=N2)OC3=CC(=CC=C3)NC(C=C)=O)Cl)OC)N4CCN(CC4)C,26,http://www.selleckchem.com/products/WZ4002.html,Protein Tyrosine Kinase,1,b13
38,3,Tianeptine sodium,S1436,L1700-04,458.93,30123-17-2,sodium,5-HT Receptor,SLC6A4 (SERT),Synthetic small molecule,Mammalian,Signaling-related,Tianeptine is a selective serotonin reuptake enhancer (SSRE) compound used for treating major depressive episodes.,C12(=C(C(C3C(S(N1C)(=O)=O)=CC(=CC=3)Cl)NCCCCCCC(=O)[O-])C=CC=C2).[Na+],200,http://www.selleckchem.com/products/Tianeptine-sodium-salt.html,Neuronal Signaling,1,b14
39,3,Danoprevir (ITMN-191),S1183,L1700-02,731.83,850876-88-9,free base,HCV Protease,HCV Protease,Synthetic small molecule,Virus,Protease,Danoprevir (ITMN-191) is a peptidomimetic inhibitor of the NS3/4A protease of hepatitis C virus (HCV) with IC50 of 0.2-3.5 nM; inhibition effect for HCV genotypes 1A/1B/4/5/6 is ~10-fold higher than 2B/3A. Phase 2.,[C@@H]1(CN2[C@@H](C1)C(N[C@@]3(C(NS(=O)(=O)C4CC4)=O)[C@@H](C3)/C=C\CCCCC[C@@H](C2=O)NC(OC(C)(C)C)=O)=O)OC(N5CC6=C(C5)C(=CC=C6)F)=O,196,http://www.selleckchem.com/products/Danoprevir.html,Proteases,1,b15
40,3,Ziprasidone HCl,S1444,L1700-04,449.4,122883-93-6,hydrochloride,Others,5-HT Receptor; Dopamine Receptor,Synthetic small molecule,Mammalian,Receptor,Ziprasidone HCl was the fifth atypical antipsychotic.,C1(=CC=CC2=C1C(=NS2)N3CCN(CC3)CCC4C(=CC5=C(C=4)CC(N5)=O)Cl).Cl,200,http://www.selleckchem.com/products/Ziprasidone-hydrochloride.html,Others,1,b16
41,3,Thalidomide,S1193,L1700-02,258.23,50-35-1,free base,TNF-alpha;E3 Ligase ,Other,Synthetic small molecule,Mammalian,Other,Thalidomide was introduced as a sedative drug; immunomodulatory agent and also is investigated for treating symptoms of many cancers. Thalidomide inhibits an E3 ubiquitin ligase; which is a CRBN-DDB1-Cul4A complex.Phase 3.,C1(N(C(C2C=CC=CC1=2)=O)C3C(NC(CC3)=O)=O)=O,201,http://www.selleckchem.com/products/Thalidomide.html,Apoptosis,1,b17
42,3,Cilomilast,S1455,L1700-04,343.42,153259-65-5,free base,PDE,PDE,Synthetic small molecule,Mammalian,Metabolism-related,Cilomilast is a potent PDE4 inhibitor with IC50 of about 110 nM; has anti-inflammatory activity and low central nervous system activity.,C1(=C(C=CC(=C1)C2(CCC(CC2)(C(=O)O)[H])C#N)OC)OC3CCCC3,200,http://www.selleckchem.com/products/Cilomilast(SB-207499).html,Metabolism,1,b18
43,3,Dimesna,S1201,L1700-02,326.34,16208-51-8,free base,Others,Other,Synthetic small molecule,Mammalian,Other,Dimesna is an uroprotective agent used to decrease urotoxicity.,S(CCSSCCS([O-])(=O)=O)([O-])(=O)=O.[Na+].[Na+],199,http://www.selleckchem.com/products/Dimesna.html,Others,1,b19
44,3,Moxifloxacin HCl,S1465,L1700-04,437.89,186826-86-8,hydrochloride,Topoisomerase,Other,Synthetic small molecule,Bacteria,Other,Moxifloxacin is a fourth-generation synthetic fluoroquinolone antibacterial agent.,C1(=C(C(=C2C(=C1)C(C(=CN2C3CC3)C(O)=O)=O)OC)N4C[C@@]5([C@](C4)(CCCN5)[H])[H])F.Cl,200,http://www.selleckchem.com/products/Moxifloxacin.html,DNA Damage,1,b20
45,3,Methotrexate,S1210,L1700-02,454.44,59-05-2,free base,DHFR,DHFR,Synthetic small molecule,Mammalian,Metabolism-related,Methotrexate is an antimetabolite and antifolate drug; which acts by inhibiting the metabolism of folic acid.,N1=C(N=C2C(=C1N)N=C(C=N2)CN(C3=CC=C(C=C3)C(N[C@@H](CCC(=O)O)C(=O)O)=O)C)N,200,http://www.selleckchem.com/products/Abitrexate.html,Metabolism,1,b21
46,3,Pimasertib (AS-703026),S1475,L1700-04,431.2,1236699-92-5,free base,MEK,MEK,Synthetic small molecule,Mammalian,Kinase,AS-703026 is a highly selective; potent; ATP non-competitive allosteric inhibitor of MEK1/2 with IC50 of 5 nM-2 muM in MM cell lines. Phase 1/2.,C1=C(C=CC(=C1F)NC2=CN=CC=C2C(NC[C@@H](CO)O)=O)I,199,http://www.selleckchem.com/products/AS703026.html,MAPK,1,b22
47,3,JIB-04,S7281,L1700-21,308.76,199596-05-9,free base,Histone demethylases,JMJD,Synthetic small molecule,Mammalian,Epigenetic modifier,JIB-04 is a pan-selective Jumonji histone demethylase inihibitor with IC50 of 230; 340; 855; 445; 435; 1100; and 290 nM for JARID1A; JMJD2E; JMJD3; JMJD2A; JMJD2B; JMJD2C; and JMJD2D; respectively.,C1=CN=C(C=C1)/C(C2=CC=CC=C2)=N/N(C3=NC=C(C=C3)Cl)[H],38,http://www.selleckchem.com/products/jib-04.html,Epigenetics,1,b23
48,3,STF-118804,S7316,L1700-21,461.53,894187-61-2,free base,Others,NAMPT,Synthetic small molecule,Mammalian,Metabolism-related,STF-118804 is a highly specific NAMPT inhibitor.,C1=NC=C(C=C1)CNC(C2=CC=C(C=C2)C3OC(=C(N=3)CS(C4=CC=C(C=C4)C)(=O)=O)C)=O,132,http://www.selleckchem.com/products/stf-118804.html,Others,1,b24
49,3,ABT-737,S1002,L1700-01,813.43,852808-04-9,free base,Autophagy;Bcl-2,BCL2,Synthetic small molecule,Mammalian,Cell death,ABT-737 is a BH3 mimetic inhibitor of Bcl-xL; Bcl-2 and Bcl-w with EC50 of 78.7 nM; 30.3 nM and 197.8 nM; respectively; no inhibition observed against Mcl-1; Bcl-B or Bfl-1. Phase 2.,C1=CC(=CC=C1C(=O)NS(C2=CC=C(C(=C2)[N+](=O)[O-])N[C@@H](CSC3=CC=CC=C3)CCN(C)C)(=O)=O)N4CCN(CC4)CC5=C(C=CC=C5)C6=CC=C(C=C6)Cl,122,http://www.selleckchem.com/products/ABT-737.html,Apoptosis,1,c1
50,3,YM201636,S1219,L1700-03,467.48,371942-69-7,free base,PI3K,PI3K,Synthetic small molecule,Mammalian,Kinase,YM201636 is a selective PIKfyve inhibitor with IC50 of 33 nM; less potent to p110A and insensitive to Fabl (yeast orthologue).,C1C(=CC=C(N=1)N)C(=O)NC2C=C(C=CC=2)C3N=C4C(=C(N=3)N5CCOCC5)OC6C(=CC=CN=6)4,74,http://www.selleckchem.com/products/ym201636.html,PI3K/Akt/mTOR,1,c2
51,3,Nintedanib (BIBF 1120),S1010,L1700-01,539.62,656247-17-5,free base,VEGFR;PDGFR;FGFR,VEGFR;LCK;FLT3;PDGFR;FGFR,Synthetic small molecule,Mammalian,Kinase,Nintedanib (BIBF 1120) is a potent triple angiokinase inhibitor for VEGFR1/2/3; FGFR1/2/3 and PDGFRA/Beta with IC50 of 34 nM/13 nM/13 nM; 69 nM/37 nM/108 nM and 59 nM/65 nM. Phase 3.,C1=C(C=C2C(=C1)/C(C(N2)=O)=C(\C3=CC=CC=C3)NC4=CC=C(C=C4)N(C)C(CN5CCN(CC5)C)=O)C(OC)=O,11,http://www.selleckchem.com/products/BIBF1120.html,Protein Tyrosine Kinase,1,c3
52,3,Raloxifene HCl,S1227,L1700-03,510.04,82640-04-8,hydrochloride,Estrogen/progestogen Receptor,Estrogen/progesterone receptor,Synthetic small molecule,Mammalian,Receptor,Raloxifene is estrogen antagonists; inhibits human cytosolic aldehyde oxidase-catalyzed phthalazine oxidation activity with IC50 of 5.7 nM.,C1(C=CC2=C(C=1)SC(=C2C(C3=CC=C(C=C3)OCCN4CCCCC4)=O)C5=CC=C(C=C5)O)O.Cl,199,http://www.selleckchem.com/products/Evista.html,Endocrinology & Hormones,1,c4
53,3,Dasatinib,S1021,L1700-01,488.01,302962-49-8,free base,Bcr-Abl;c-Kit;Src,BCR-ABL;KIT;SRC,Synthetic small molecule,Mammalian,Kinase,Dasatinib is a novel; potent and multi-targeted inhibitor that targets Abl; Src and c-Kit; with IC50 of ＜1 nM; 0.8 nM and 79 nM; respectively.,N1=C(N=C(C=C1NC2=NC=C(S2)C(NC3=C(C=CC=C3C)Cl)=O)N4CCN(CC4)CCO)C,200,http://www.selleckchem.com/products/Dasatinib.html,Angiogenesis,1,c5
54,3,Vincristine,S1241,L1700-03,923.04,2068-78-2,sulfate,Microtubule Associated;Autophagy,Microtubules,,Mammalian,Cytoskeleton,Vincristine is an inhibitor of polymerization of microtubules by binding to tubulin with IC50 of 32 muM.,C1(=CC2=C(C=C1[C@@]3(C4=C(C5=C(N4)C=CC=C5)CCN6C[C@](C3)(C[C@@](C6)(O)CC)[H])C(OC)=O)[C@]78[C@@](N2C=O)([C@]([C@@H]([C@]9([C@@]7(N(CC8)CC=C9)[H])CC)OC(=O)C)(C(OC)=O)O)[H])OC.S(=O)(=O)(O)O,108,http://www.selleckchem.com/products/Vincristine-Sulfate.html,Cytoskeletal Signaling,1,c6
55,3,Nilotinib (AMN-107),S1033,L1700-01,529.52,641571-10-0,free base,Bcr-Abl,BCR-ABL,Synthetic small molecule,Mammalian,Kinase,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM.,C1(=CC=C(C(=C1)NC2=NC=CC(=N2)C3=CN=CC=C3)C)C(=O)NC4=CC(=CC(=C4)N5C=C(N=C5)C)C(F)(F)F,50,http://www.selleckchem.com/products/Nilotinib.html,Angiogenesis,1,c7
56,3,Entecavir Hydrate,S1252,L1700-03,295.29,209216-23-9,hydrate,Others,Other,Synthetic small molecule,Virus,Other,Entecavir hydrate belongs to the family of medicines called antivirals. ,N1(=C(NC2=C(C1=O)N=CN2[C@H]3C[C@@H]([C@H](C3=C)CO)O)N).O,199,http://www.selleckchem.com/products/Entecavir.html,Others,1,c8
