"","expId","Compound","Catalog.No.","Rack.Number","M.w.","CAS.Number","Form","Targets..as.supplied.","Target.class..11Mar15.","Molecule.Type","Target.Species","Target.Type","Information","Smiles","Max.Solubility.in.DMSO","URL","Pathway","Plate","Position","Screen","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24","phenotypic_Marker","0","2","4","6","8","10","12","14","16","18","20","22","24"
"11","2","Y-27632 2HCl","S1049","L1700-01",320.26,"129830-38-2","dihydrochloric","Autophagy;ROCK","ROCK1","Synthetic small molecule","Mammalian","Kinase","Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM; exhibits >200-fold selectivity over other kinases; including PKC; cAMP-dependent protein kinase; MLCK and PAK.","[C@@H]1(CC[C@@H](CC1)[C@@H](C)N)C(=O)NC2(C=CN=CC=2).Cl.Cl",199,"http://www.selleckchem.com/products/Y-27632.html","Cell Cycle",1,"a11","ENTER_SCREEN_NAME","Confluency",77.45413,67.35165,64.1446,62.94057,61.96522,60.99183,61.16977,60.60138,61.08854,59.54605,59.9837,60.0174,60.18227,"Sytox Green",41.7688,89.10677,135.0524,207.9158,268.2485,301.1995,336.0068,348.5374,368.9577,385.2011,408.406,421.8649,441.8211,"mCherry",1,3,3,15,21,22,22,20,15,21,16,12,11
"12","2","Adapalene","S1276","L1700-03",412.52,"106685-40-9","free base","Others","Other","Synthetic small molecule","Mammalian","Other","Adapalene is a third-generation topical retinoid primarily used in the treatment of acne.","C1(=C(C=CC(=C1)C2=CC3=C(C=C2)C=C(C=C3)C(O)=O)OC)C45CC6CC(C4)CC(C5)C6",19,"http://www.selleckchem.com/products/Adapalene.html","Others",1,"a12","ENTER_SCREEN_NAME","Confluency",66.22333,55.21054,52.76297,53.4946,53.09465,52.58279,53.56036,51.86759,52.41744,51.6585,51.1321,51.18421,51.14332,"Sytox Green",29.70226,77.50433,129.9474,200.9543,266.8562,316.0506,350.8579,374.5269,394.019,411.6547,429.7545,441.8211,462.2414,"mCherry",3,4,10,12,20,22,23,26,16,17,13,14,12
"13","2","Masitinib (AB1010)","S1064","L1700-01",498.64,"790299-79-5","free base","PDGFR;c-Kit","KIT;LYN;PDGFR","Synthetic small molecule","Mammalian","Kinase","Masitinib is a novel inhibitor for Kit and PDGFRA/Beta with IC50 of 200 nM and 540 nM/800 nM; weak inhibition to ABL and c-Fms. Phase 2/3.","C1(=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CC=CN=C5)C",200,"http://www.selleckchem.com/products/Masitinib-(AB1010).html","Protein Tyrosine Kinase",1,"a13","ENTER_SCREEN_NAME","Confluency",81.5237,69.91491,66.92407,67.63641,66.27081,66.10524,65.3391,65.13708,64.02115,63.36929,63.34692,63.09171,62.99356,"Sytox Green",34.34324,225.5515,290.9893,381.9525,458.9927,523.0382,558.3096,588.476,607.9681,621.891,627.9243,649.7369,672.9418,"mCherry",3,9,10,12,14,22,23,17,14,19,10,11,4
"14","2","Budesonide","S1286","L1700-03",430.53,"51333-22-3","free base","Others","Glucocorticoid Receptor","Synthetic small molecule","Mammalian","Receptor","Budesonide is a glucocorticoid steroid for the treatment of asthma; non-infectious rhinitis.","C1C(C=C2[C@](C=1)([C@]3([C@@](CC2)([C@]4([C@](C[C@H]3O)([C@@]5([C@@H](C4)O[C@](O5)(CCC)[H])C(CO)=O)C)[H])[H])[H])C)=O",199,"http://www.selleckchem.com/products/Budesonide.html","Others",1,"a14","ENTER_SCREEN_NAME","Confluency",76.50082,65.41695,63.65167,62.66997,62.35241,62.25817,60.24291,59.47771,58.61903,58.75184,59.02193,58.99155,57.98091,"Sytox Green",41.3047,70.07877,101.6374,155.4727,203.7389,242.7231,268.2485,290.5252,294.238,314.1942,335.0786,344.8246,353.1784,"mCherry",2,5,7,9,11,8,21,16,16,12,12,13,9
"15","2","ZSTK474","S1072","L1700-01",417.41,"475110-96-4","free base","PI3K","PI3K","Synthetic small molecule","Mammalian","Kinase","ZSTK474 inhibits class I PI3Kisoforms with IC50 of 37 nM; mostly PI3Kδ. ","N1=C(N=C(N=C1N2CCOCC2)N3C4=C(N=C3C(F)F)C=CC=C4)N5CCOCC5",50,"http://www.selleckchem.com/products/ZSTK474.html","PI3K/Akt/mTOR",1,"a15","ENTER_SCREEN_NAME","Confluency",76.27467,68.27347,67.6209,68.20461,67.75823,67.32346,67.85685,67.25918,66.8914,65.90047,66.1496,64.38195,64.3802,"Sytox Green",52.44305,135.0524,263.1434,387.0575,452.0312,501.6897,534.1765,559.7019,564.807,597.2938,641.3831,666.9085,691.9698,"mCherry",2,11,15,26,25,30,22,19,19,15,13,10,9
"16","2","Floxuridine","S1299","L1700-03",246.19,"50-91-9","free base","DNA/RNA Synthesis","Thymidylate synthase ","","Mammalian","Metabolism-related","Floxuridine is a prodrugs of floxuridine and an oncology agent with an GI50 of 5.1 muM for the inhibition of MDCK/PEPT1.","O1[C@@H]([C@H](C[C@H]1N2C=C(C(NC2=O)=O)F)O)CO",199,"http://www.selleckchem.com/products/Floxuridine.html","DNA Damage",1,"a16","ENTER_SCREEN_NAME","Confluency",77.42114,65.0856,64.1361,64.05692,62.74799,61.90937,60.29777,60.60595,60.25251,59.11667,59.61156,58.28176,58.12523,"Sytox Green",40.8406,77.04023,121.5936,207.9158,275.21,316.5147,361.0681,372.6705,391.6985,416.2957,437.6442,456.2081,461.7773,"mCherry",5,5,14,16,27,32,33,35,31,25,22,18,17
"17","2","Belinostat (PXD101)","S1085","L1700-01",318.35,"414864-00-9","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic modifier","Belinostat (PXD101) is a novel HDAC inhibitor with IC50 of 27 nM; with activity demonstrated in cisplatin-resistant tumors. Phase 1/2.","C1(=CC=CC(=C1)/C=C/C(NO)=O)S(NC2=CC=CC=C2)(=O)=O",201,"http://www.selleckchem.com/products/Belinostat.html","Epigenetics",1,"a17","ENTER_SCREEN_NAME","Confluency",69.50244,59.6459,56.85712,56.52848,56.5512,55.68816,56.12094,57.22092,57.23288,56.54842,56.8653,56.75519,56.39864,"Sytox Green",29.23816,71.00696,164.2906,325.7966,481.2694,602.863,699.3953,798.7123,869.7192,934.6929,990.8488,1004.308,1023.8,"mCherry",3,4,15,20,30,38,34,35,39,42,38,35,29
"18","2","Costunolide","S1319","L1700-03",232.32,"553-21-9","free base","Telomerase","Farnsyl transferase;Telomerase","Natural product","Mammalian","Signaling-related","Costunolide; a natural sesquiterpene compound with multiple biological activities; inhibits FPTase with IC50 of 20 muM; also inhibits telomerase with IC50 of 65-90 muM.","C1C/C(=C/[C@@H]2[C@@H](CC/C(=C/1)C)C(C(O2)=O)=C)C",202,"http://www.selleckchem.com/products/Costunolide.html","DNA Damage",1,"a18","ENTER_SCREEN_NAME","Confluency",78.54818,69.29701,68.3888,69.17931,68.95255,68.25467,68.55451,67.69508,67.28884,67.57751,67.69327,67.04214,66.49585,"Sytox Green",31.55865,47.33797,69.15057,92.81956,117.8808,155.4727,185.6391,201.4184,230.6566,250.6128,281.2433,310.0173,329.0453,"mCherry",3,3,13,17,23,17,20,14,16,19,15,13,10
"19","2","LAQ824 (Dacinostat)","S1095","L1700-01",379.46,"404951-53-7","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic modifier","LAQ824 (Dacinostat) is a novel HDAC inhibitor with IC50 of 32 nM and is known to activate the p21 promoter.","C1(=CC=C(C=C1)CN(CCO)CCC2=CNC3=C2C=CC=C3)/C=C/C(NO)=O",200,"http://www.selleckchem.com/products/LAQ824(NVP-LAQ824).html","Epigenetics",1,"a19","ENTER_SCREEN_NAME","Confluency",75.14543,64.5507,62.67743,63.62609,64.14993,64.09106,64.52414,64.35967,65.54354,65.74221,65.58939,65.83999,66.02194,"Sytox Green",58.01222,104.8861,180.534,371.2782,557.3814,707.285,838.6247,945.3671,1043.756,1094.343,1131.006,1148.178,1169.99,"mCherry",1,5,9,26,38,37,53,59,67,62,56,47,45
"20","2","Flumazenil","S1332","L1700-03",303.29,"78755-81-4","free base","GABA Receptor","GABA Receptor","","Mammalian","Receptor","Flumazenil is a benzodiazepine antagonist.","C1=C(C=C2C(=C1)N3C(CN(C2=O)C)=C(N=C3)C(=O)OCC)F",16,"http://www.selleckchem.com/products/Flumazenil.html","Neuronal Signaling",1,"a20","ENTER_SCREEN_NAME","Confluency",85.11011,74.63301,74.54259,71.2869,72.07333,71.33354,70.21098,70.85751,67.05399,66.49687,67.25995,68.06118,66.43652,"Sytox Green",29.70226,68.22237,119.2731,173.5726,232.0489,264.5357,278.4586,310.0173,331.8299,342.9683,371.7423,401.9087,420.4726,"mCherry",0,11,10,17,21,23,17,32,20,18,24,16,19
"21","2","GDC-0879","S1104","L1700-01",334.37,"905281-76-7","free base","Raf","RAF","Synthetic small molecule","Mammalian","Kinase","GDC-0879 is a novel; potent; and selective B-Raf inhibitor with IC50 of 0.13 nM with activity against c-Raf as well; no inhibition known to other protein kinases.","C(CN1N=C(C(=C1)C2=CC=C3C(=C2)CCC/3=N/O)C4C=CN=CC=4)O",200,"http://www.selleckchem.com/products/GDC-0879.html","MAPK",1,"a21","ENTER_SCREEN_NAME","Confluency",82.91453,70.33998,67.94396,67.33277,67.34302,65.26582,64.93404,64.30187,64.08201,63.15848,63.77619,63.91536,64.1034,"Sytox Green",38.05602,79.36072,112.7758,161.9701,200.9543,232.513,255.2538,266.8562,274.2818,271.4972,278.9228,290.5252,304.4482,"mCherry",5,7,7,17,17,23,25,21,20,15,11,12,9
"22","2","Granisetron HCl","S1345","L1700-03",348.87,"107007-99-8","hydrochloride","5-HT Receptor","5-HT Receptor","Synthetic small molecule","Mammalian","Receptor","Granisetron HCl is a serotonin 5-HT3 receptor antagonist","C1(=C2C(=CC=C1)N(N=C2C(=O)NC3CC4CCCC(C3)N4C)C).Cl",10,"http://www.selleckchem.com/products/Granisetron-Hydrochloride.html","Neuronal Signaling",1,"a22","ENTER_SCREEN_NAME","Confluency",73.58828,63.31412,61.92384,61.41991,61.42812,61.52897,59.88337,58.80407,58.40511,57.98864,56.7742,57.80018,56.68588,"Sytox Green",28.30996,77.96842,129.4833,209.3081,281.2433,332.7581,368.9577,394.019,414.9034,446.4621,468.2747,493.8,523.0382,"mCherry",1,3,10,18,21,20,21,23,26,20,18,11,13
"23","2","4mu8C","S7272","L1700-21",204.18,"14003-96-4","free base","Others","IRE1","Synthetic small molecule","Mammalian","Signaling-related","4mu8C is a potent and selective IRE1 RNase inhibitor with IC50 of 76 nM.","C1(=CC=C2C(=C1C=O)OC(C=C2C)=O)O",93,"http://www.selleckchem.com/products/4u8c.html","Others",1,"a23","ENTER_SCREEN_NAME","Confluency",75.97855,65.27524,64.92978,61.85962,62.31498,61.70903,60.8431,62.05091,59.07571,59.21141,57.49652,58.26804,59.10635,"Sytox Green",44.55339,71.93516,103.0297,138.7652,183.3186,219.9823,243.6513,265.928,284.4919,294.238,310.9455,315.1224,330.9017,"mCherry",2,6,5,13,10,7,9,11,11,6,5,8,4
"24","2","RG2833 (RGFP109)","S7292","L1700-21",339.43,"1215493-56-3","free base","HDAC","HDAC","Synthetic small molecule","Mammalian","Epigenetic modifier","RG2833 (RGFP109) is a brain-penetrant HDAC inhibitor with IC50 of 60 nM and 50 nM for HDAC1 and HDAC3; respectively.","C1(=CC=C(C=C1)C(=O)NCCCCCC(NC2=CC=CC=C2N)=O)C",200,"http://www.selleckchem.com/products/rg2833-rgfp109.html","Epigenetics",1,"a24","ENTER_SCREEN_NAME","Confluency",81.82349,73.13913,69.10968,70.22335,70.38673,67.52374,65.16885,64.39423,64.45248,62.09945,60.86713,60.18733,61.26557,"Sytox Green",35.27143,66.36598,122.0577,184.2468,244.1154,281.2433,313.7301,323.0121,326.7248,346.681,349.0015,362.9245,375.4551,"mCherry",1,4,9,19,23,28,28,45,41,32,30,24,28
"25","2","SGX-523","S1112","L1700-02",359.41,"1022150-57-7","free base","c-Met","MET","Synthetic small molecule","Mammalian","Kinase","SGX-523 is a selective Met inhibitor with IC50 of 4 nM; no activity to BRAFV599E; c-Raf; Abl and p38A. Phase 1.","C1=C2C(=CC(=C1)SC3N4C(=NN=3)C=CC(=N4)C5C=NN(C=5)C)C=CC=N2",10,"http://www.selleckchem.com/products/SGX-523.html","Protein Tyrosine Kinase",1,"b1","ENTER_SCREEN_NAME","Confluency",70.68069,62.85785,60.92599,60.54158,59.84395,59.05944,57.6525,56.80239,56.85482,56.82604,55.44217,54.98014,54.98166,"Sytox Green",48.73027,71.93516,97.46053,122.5218,155.4727,190.7442,202.8107,217.6618,238.5462,258.9666,272.8895,273.8177,286.3483,"mCherry",0,4,8,15,12,12,20,13,15,11,8,9,8
"26","2","Losartan Potassium (DuP 753)","S1359","L1700-04",462.01,"124750-99-8","potassium","RAAS","AT1/2","Synthetic small molecule","Mammalian","Receptor","Losartan is an angiotensin II receptor antagonist; competes with the binding of angiotensin II to AT1 receptors with IC50 of 20 nM.","C1(=CC(=CC=C1C2=C(C=CC=C2)C3NN=NN=3)CN4C(=C(N=C4CCCC)Cl)CO).[K]",199,"http://www.selleckchem.com/products/losartan-potassium.html","Endocrinology & Hormones",1,"b2","ENTER_SCREEN_NAME","Confluency",62.85764,52.51916,52.00979,50.84026,50.57276,49.21574,49.33434,48.94045,48.19748,48.15874,47.90827,47.27834,47.47268,"Sytox Green",13.45884,41.3047,77.96842,139.2293,192.1365,224.1592,256.182,273.3536,287.7406,301.6635,339.7196,344.8246,362.9245,"mCherry",5,10,13,18,22,27,20,20,28,17,20,12,16
"27","2","Everolimus (RAD001)","S1120","L1700-02",958.22,"159351-69-6","free base","mTOR","FKBP12/MTOR","Synthetic small molecule","Mammalian","Signaling-related","Everolimus (RAD001) is an mTOR inhibitor of FKBP12 with IC50 of 1.6-2.4 nM.","C(O)CO[C@H]1[C@@H](C[C@@H](CC1)C[C@@H]([C@H]2OC(=O)[C@@H]3CCCCN3C(=O)C([C@]4([C@@H](CC[C@H](O4)C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C([C@@H]([C@@H](O)/C(=C/[C@H](C(C2)=O)C)C)OC)=O)C)C)C)OC)C)O)=O)C)OC",31,"http://www.selleckchem.com/products/Everolimus(RAD001).html","PI3K/Akt/mTOR",1,"b3","ENTER_SCREEN_NAME","Confluency",63.5425,54.9048,51.63612,52.25705,51.40571,50.7439,50.41517,51.04647,50.12336,48.6563,49.20004,48.8586,47.87793,"Sytox Green",17.17162,37.59192,71.93516,117.4167,154.5446,190.7442,223.231,255.2538,278.4586,290.9893,326.7248,342.9683,366.6372,"mCherry",2,1,7,5,18,25,18,17,14,19,14,11,10
"28","2","Acitretin","S1368","L1700-04",326.43,"55079-83-9","free base","Others","Other","Synthetic small molecule","Mammalian","Other","Acitretin is a second generation retinoid used for psoriasis.","C1=C(C(=C(C(=C1C)/C=C/C(=C/C=C/C(=C/C(O)=O)C)C)C)C)OC",61,"http://www.selleckchem.com/products/Acitretin.html","Others",1,"b4","ENTER_SCREEN_NAME","Confluency",70.98115,59.50343,57.28332,56.3469,56.2343,54.82842,54.41021,54.5999,55.43949,53.62503,53.59689,52.6849,52.90641,"Sytox Green",28.30996,54.76354,90.49906,137.3729,176.8212,215.8055,240.8667,260.3589,274.2818,295.1662,317.4429,343.4323,353.6425,"mCherry",3,7,13,21,24,29,38,37,32,30,35,17,23
"29","2","AT9283","S1134","L1700-02",381.43,"896466-04-9","free base","JAK;Aurora Kinase;Bcr-Abl","JAK;Aurora Kinase;BCR-ABL","Synthetic small molecule","Mammalian","Kinase","AT9283 is a potent JAK2/3 inhibitor with IC50 of 1.2 nM/1.1 nM; also potent to Aurora A/B; Abl(T315I). Phase 1/2.","N(C(=O)NC1C(=NNC=1)C2NC3C(N=2)=CC(=CC=3)CN4CCOCC4)C5CC5",199,"http://www.selleckchem.com/products/AT9283.html","JAK/STAT",1,"b5","ENTER_SCREEN_NAME","Confluency",79.34718,70.82311,66.33763,65.16291,63.88028,64.20032,64.00657,63.86467,62.55707,63.27781,63.12819,62.82677,63.27169,"Sytox Green",32.02275,118.3449,235.7617,374.5269,458.0645,536.497,588.476,638.5985,673.4059,703.5722,748.1256,786.6457,821.4531,"mCherry",0,3,9,22,34,27,43,47,36,34,28,25,19
"30","2","Lopinavir","S1380","L1700-04",628.8,"192725-17-0","free base","HIV Protease","HIV Protease","Synthetic small molecule","Virus","Protease","Lopinavir is a potent HIV protease inhibitor with Ki of 1.3 pM.","C1=CC=C(C(=C1C)OCC(N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@@H](N4CCCNC4=O)C(C)C)O)=O)C",200,"http://www.selleckchem.com/products/Lopinavir.html","Proteases",1,"b6","ENTER_SCREEN_NAME","Confluency",73.28072,64.96223,60.96256,59.5233,60.55318,60.24672,58.50333,59.37058,58.35752,58.1983,56.97845,56.76493,57.24694,"Sytox Green",47.80207,104.422,129.0192,170.3239,221.3746,258.5025,286.3483,313.266,336.935,351.7861,363.8527,386.5934,407.0137,"mCherry",7,6,11,18,16,23,18,24,21,21,27,10,13
"31","2","Ivacaftor (VX-770)","S1144","L1700-02",392.49,"873054-44-5","free base","CFTR","CFTR","Synthetic small molecule","Mammalian","Metabolism-related","Ivacaftor (VX-770) is a potentiator of CFTR targeting G551D-CFTR and F508del-CFTR with EC50 of 100 nM and 25 nM; respectively.","C1=C(C(=CC(=C1C(C)(C)C)NC(C2C(C3=C(NC=2)C=CC=C3)=O)=O)O)C(C)(C)C",198,"http://www.selleckchem.com/products/VX-770.html","Transmembrane Transporters",1,"b7","ENTER_SCREEN_NAME","Confluency",73.14926,62.12204,61.44535,61.05423,60.33904,60.44306,59.85123,60.53621,59.98409,59.40275,58.63386,58.57983,58.37298,"Sytox Green",32.02275,64.04549,105.8143,137.3729,158.7214,170.788,187.4955,213.485,226.9438,253.3974,273.8177,297.4867,325.3326,"mCherry",2,8,8,15,18,18,17,14,23,21,13,17,11
